 Seconds	 Resist. (Ohm)
   1587 	10031.4969 
   1589 	10031.4984 
   1591 	10031.4778 
   1593 	10031.4692 
   1595 	10031.4704 
   1597 	10031.4676 
   1599 	10031.442 
   1601 	10031.4624 
   1603 	10031.4363 
   1606 	10031.4069 
   1608 	10031.4198 
   1610 	10031.4096 
   1612 	10031.3979 
   1614 	10031.4095 
   1616 	10031.3759 
   1618 	10031.3763 
   1621 	10031.3857 
   1623 	10031.3575 
   1625 	10031.3611 
   1627 	10031.3713 
   1629 	10031.3414 
   1631 	10031.3219 
   1633 	10031.3346 
   1635 	10031.3239 
   1637 	10031.3159 
   1640 	10031.3089 
   1642 	10031.3018 
   1644 	10031.2756 
   1646 	10031.2941 
   1648 	10031.2816 
   1650 	10031.2642 
   1652 	10031.264 
   1655 	10031.2673 
   1657 	10031.2415 
   1659 	10031.234 
   1661 	10031.239 
   1663 	10031.2256 
   1665 	10031.2099 
   1667 	10031.2084 
   1669 	10031.2068 
   1672 	10031.1956 
   1674 	10031.1832 
   1676 	10031.1737 
   1678 	10031.1744 
   1680 	10031.1685 
   1682 	10031.1517 
   1684 	10031.1507 
   1686 	10031.1444 
   1688 	10031.1351 
   1691 	10031.1331 
   1693 	10031.1217 
   1695 	10031.1179 
   1697 	10031.1031 
   1699 	10031.0887 
   1701 	10031.0807 
   1703 	10031.0838 
   1706 	10031.0697 
   1708 	10031.0612 
   1710 	10031.0668 
   1712 	10031.029 
   1714 	10031.0506 
   1716 	10031.032 
   1718 	10031.0123 
   1720 	10031.0191 
   1722 	10031.0133 
   1725 	10030.9873 
   1727 	10030.9982 
   1729 	10030.9953 
   1731 	10030.9719 
   1733 	10030.9736 
   1735 	10030.961 
   1737 	10030.9572 
   1740 	10030.9426 
   1742 	10030.9488 
   1744 	10030.926 
   1746 	10030.9144 
   1748 	10030.9205 
   1750 	10030.9015 
   1752 	10030.8989 
   1754 	10030.8948 
   1757 	10030.9003 
   1759 	10030.8809 
   1761 	10030.8689 
   1763 	10030.8677 
   1765 	10030.854 
   1767 	10030.8532 
   1769 	10030.8457 
   1771 	10030.8128 
   1774 	10030.8189 
   1776 	10030.805 
   1778 	10030.8083 
   1780 	10030.7923 
   1782 	10030.7843 
   1784 	10030.7728 
   1786 	10030.7664 
   1788 	10030.7721 
   1791 	10030.7582 
   1793 	10030.733 
   1795 	10030.7571 
   1797 	10030.7246 
   1799 	10030.7243 
   1801 	10030.7174 
   1803 	10030.7094 
   1805 	10030.701 
   1808 	10030.7019 
   1810 	10030.6881 
   1812 	10030.6832 
   1814 	10030.6866 
   1816 	10030.6752 
   1818 	10030.6566 
   1820 	10030.6498 
   1822 	10030.6497 
   1825 	10030.6312 
   1827 	10030.6292 
   1829 	10030.6144 
   1831 	10030.5933 
   1833 	10030.5956 
   1835 	10030.6078 
   1837 	10030.5892 
   1839 	10030.5657 
   1842 	10030.5601 
   1844 	10030.5385 
   1846 	10030.557 
   1848 	10030.5521 
   1850 	10030.5253 
   1852 	10030.5072 
   1854 	10030.5087 
   1856 	10030.5111 
   1859 	10030.4983 
   1861 	10030.5051 
   1863 	10030.482 
   1865 	10030.4608 
   1867 	10030.4736 
   1869 	10030.4441 
   1871 	10030.4357 
   1873 	10030.4499 
   1876 	10030.4141 
   1878 	10030.4344 
   1880 	10030.4161 
   1882 	10030.3849 
   1884 	10030.4076 
   1886 	10030.3937 
   1888 	10030.3625 
   1890 	10030.3646 
   1893 	10030.3675 
   1895 	10030.333 
   1897 	10030.3387 
   1899 	10030.3245 
   1901 	10030.3303 
   1903 	10030.327 
   1905 	10030.2992 
